Official Symbol Interactor A,Official Symbol Interactor B
Dlg4,Abr
Dlg4,Adam22
Dlg4,Agap2
Dlg4,Anks1
Dlg4,Anks1b
Dlg4,Arf3
Dlg4,Arpc4
Dlg4,Baiap2
Dlg4,Basp1
Dlg4,Begain
Dlg4,Cacng2
Dlg4,Camk2a
Dlg4,Camk2b
Dlg4,Camk2d
Dlg4,Cand1
Dlg4,Capza2
Dlg4,Cdk5
Dlg4,Cit
Dlg4,Clu
Dlg4,Cnksr2
Dlg4,Cnp
Dlg4,Cntn1
Dlg4,Cntnap1
Dlg4,Cyfip1
Dlg4,Dip2b
Dlg4,Dlg1
Dlg4,Dlg2
Dlg4,Dlg3
Dlg4,Dlgap1
Dlg4,Dlgap2
Dlg4,Dlgap3
Dlg4,Dlgap4
Dlg4,Dstn
Dlg4,Fam81a
Dlg4,Fscn1
Dlg4,Gda
Dlg4,Gdi1
Dlg4,Gdi2
Dlg4,Glul
Dlg4,Gnao1
Dlg4,Gnai1
Dlg4,Gnb1
Dlg4,Gpm6a
Dlg4,Gpr123
Dlg4,Gria1
Dlg4,Gria2
Dlg4,Gria3
Dlg4,Gria4
Dlg4,Grik2
Dlg4,Grik5
Dlg4,Grm3
Dlg4,Iqsec1
Dlg4,Iqsec2
Dlg4,Kalrn
Dlg4,Kcna1
Dlg4,Kcna2
Dlg4,Kcna3
Dlg4,Kcnab1
Dlg4,Kcnab2
Dlg4,Kcnj10
Dlg4,Kcnj16
Dlg4,Kcnj4
Dlg4,Lgi1
Dlg4,Lrpprc
Dlg4,Macf1
Dlg4,Mapk1
Dlg4,Mpp2
